terra_address,sayve_amount,ust_amount,txhash
terra1len2wh0v7unmp543xhndhgrzcadj4fr64j6mkp,1.5,1.0001,24545B4DC5CCEB76951D163C3B6CEDD0F8169FB0C2F7F5D5C2C68A1C3E568FDA
terra17pupj6s57uapctk4pek2vhu8zdu4nxy6y8g7ew,2.0,2.3,C755E013352D79118140D7EDDE04677326616F6C7B4E4A8D12DE25D11FCB42A9
terra1da9s2znfrytsnpncjhtmreyeawumvfuwdt980r,3.0,3.0,C0D25222F67F00B1639A906DA075508425A0C2F5EBBF23C8E5A31C3A2F31D93E
terra1elk88ssjcdhkzx3sx8tnux6dk6nsdspmf3fuat,10.0,5.0,C25A4CEEE9A7FDBC87598648247ED9DD16D768AE1793DE548BBFF71EBD896FEE
terra1esw4ftyd8yj52mpxvghq9ajg80mg5xay0jjvfy,40.2,5.0,37455F1EF49CD0C1603D608FFCF177A7C478B47F6A560AC24020F8D755E833CE
terra1z84l9hffdxwze24x3w923328hpf7sk95yfmqm9,5.0,1.0,626238BAC07D5C66F4B6D619A6B584BDACE2E8E2592C0620A077B4BFFCD0A7A5
terra18dkj5qffjq6gkv0jcqsyzsa90khw2lhv67urfk,20.0,3.0,671ABF4B433C8EB09DCAC90807CA3D26CB572D0020F7C6303DC2252F3F3F1674
terra1fljcfspdyxx9d7e5tqwhfwsy72gryysczgdwxj,1.0,4.0,54FA98CA2DE68158D3DF494E801DA2D4FEFF52D4C522458FCC4D5DF97CDA6C8B
terra13nffv26dspulaljrd0tqkrp7my748dv8j4jdxj,4.0,5.556,ADB97D12BA6336827927586EA153D44C085A4D9B4B8697AD0D1CAEEA43A63744
